"The recent explosions in the munitions depot in Vinnitsa were organized by the Ukrainian soldiers themselves to cover up their traces. They have stolen a lot of weapons and try to escape responsibility in the face of the audit which might take place soon.";"TV Zvezda, Military";"https://tvzvezda.ru/news/vstrane_i_mire/content/201710030853-nx7c.htm";"03.10.2017";"Promote Ukraine NGO";"TV Zvezda";"Explosions in Vinnitsa were organized by Ukrainian soldiers";"TV Zvezda is a regular mouthpiece for pro-Kremlin disinformation https://euvsdisinfo.eu/dependent-media-russias-military-tv-zvezda/. Vladislav Seleznev, a spokesman for the Ukrainian general staff, stated that the military were investigating various possible causes of the fire. The SBU, the Ukrainian security service, said it suspected the fire was an act of sabotage. http://www.telegraph.co.uk/news/2017/09/27/fire-ukraine-ammunition-depot-prompts-mass-evacuation/";"Russian";"82";"Ukraine"
"The referendum for independence held in Catalonia on October 1, 2017, where citizens were shot right at the entrance to polling stations, in the context of a complete silence of EU officials, demonstrates that Article 2 from EU treaty about democracy and human rights is only “chatter”. If the EU bureaucracy keep silent about the violence in Catalonia, it means they support it.";"Catalonia, Referendum";"https://www.facebook.com/bogdan.tirdea.9";"02.10.2017";"BDR Associates";"Facebook page of Socialist deputy, Bogdan Tirdea";"EU officials supported the violence in Catalonia";"The European Commission issued a statement on the events in Catalonia where EC states that the vote in Catalonia was not in line with the Spanish constitution, but underlines that ""Violence can never be an instrument in politics"". 
http://europa.eu/rapid/press-release_STATEMENT-17-3626_en.htm";"Moldova";"82";"Spain"
"The US consistently prepares to destroy Turkey. The aim is at least to overthrow Erdoğan and maybe even to divide Turkey into several states.";"Recep Tayyip Erdoğan";"https://www.youtube.com/watch?v=FcnlOiHhiE4";"29.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 21:55";"The US is planning to overthrow Erdogan";"Conspiracy theory, no evidence given. Being a NATO member, Turkey is a partner and an ally of the US.";"Russian";"82";"Turkey, US"
"All these requirements [the requirement to register RT as a foreign agent] contradict the American principles of freedom of speech.";"Russia Today (RT)";"https://www.youtube.com/watch?v=p4wJvqKdRK4";"29.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal";"The requirement to register RT as a foreign agent contradict the American principles of freedom of speech";"The US doesn’t prohibit RT broadcasting in America, but requires this television company to: submit periodic
disclosures outlining its agreements with the foreign principal, disclose income from and expenditures on behalf the principal, and have 
business records of its activities available for inspection by the United States Department of Justice (DOJ). In addition, a foreign agent must ensure that all informational materials it distributes are conspicuously labelled and filed with the DOJ. http://www.atlanticcouncil.org/publications/reports/agent-of-influence-should-russia-s-rt-register-as-a-foreign-agent 
During the Cold War, representatives of Soviet news outlets (TASS, ‘Pravda’, ‘Izvestia’ and others) were registered agents,” ( http://www.newsweek.com/time-shine-light-putins-american-propaganda-arm-542642 ).

Further debunking: http://theins.ru/antifake/73201";"Russian";"82";"US"
"The main goal of the US in the Middle East is to prevent the complete elimination of Daesh, and they are going to great lengths to prevent it.";"Daesh";"https://youtu.be/FcnlOiHhiE4?t=1226";"29.09.2017";"Pavel Spirin, former jornalist";"Vremya pokazhet @Pervyi kanal, 20:28";"The US is doing everything to prevent the elimination of Daesh";"Recurring disinformation that the US is protecting or working together with ISIS/Daesh https://euvsdisinfo.eu/disinformation-cases/?text=Daesh&disinfo_issue=&date=.  The US is fighting against Daesh together with the Global Coalition against Daesh http://theglobalcoalition.org/en/home/. The US MoD outlines the latest progress on their website https://www.defense.gov/News/Article/Article/1322158/strikes-continue-in-effort-to-defeat-isis-in-syria-iraq/.";"Russian";"82";"US, Middle East"
"The officials of Ukraine said bluntly that ‘now, we ""clean up"" Kharkiv, ""clean up"" Odessa, ""clean up"" Donbas and get on with Crimea. This plan was announced repeatedly on various levels. They ""cleaned up"" Kharkiv, ""cleaned up"" Odessa bloodily and brutally, then went on to  Donbas and came across the resistance there! Therefore the peace in Crimea was established because they got stuck in Donbas.";"Kharkiv, Odessa, War in Ukraine, Donbas, Crimea";"https://youtu.be/supnlJCjgYY?t=2434";"28.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 40:34";"Ukraine had a plan to ""clean up"" the population of Crimea, Kharkiv, Donbas and Odessa";"Conspiracy theory, no evidence given.";"Russian";"82";"Ukraine"
"The Syrian military found proof (cigarettes, flag and crossword) of Ukrainian nationals fighting for ISIS in Syria when storming a camp belonging to ISIS.";"TV Zvezda, Daesh";"https://tvzvezda.ru/news/vstrane_i_mire/content/201709282021-fleh.htm";"28.09.2017";"Stopfake";"TV Zvezda";"Syrian military stormed a camp of Ukrainian ISIS fighters";"Recurring pro-Kremlin disinformation that Ukraine is somehow involved with or training ISIS fighters. As ""proof"" this time, Russian Ministry of Defence TV (recurring disinformation outlet https://euvsdisinfo.eu/dependent-media-russias-military-tv-zvezda/) is using a video which appears to be staged, where men dressed as soldiers speaking with a Syrian accent find Ukrainian cigarettes and a Ukrainian flag in what seems to be a rather luxurious building. At the end of the video the men randomly shoot out through the windows, without being shot at back. Further debunking at Stopfake.org https://www.stopfake.org/fejk-sirijskie-voennye-vzyali-shturmom-lager-ukrainskih-boevikov-ig/.";"Russian";"82";"Ukraine, Syria"
"Nobody in Kiev wants to negotiate peacefully with the pro-Kremlin separatists of Donbas, instead they are going to conduct a genocide in Donetsk and Luhansk.";"Genocide, War in Ukraine, Donbas";"https://youtu.be/supnlJCjgYY?t=3256";"28.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 54:16";"Kyiv has developed a plan for a genocide of the population of Donbas";"No evidence given, recurring disinformation. No evidence of genocide has been provided. The word genocide is frequently used in pro-Kremlin disinformation https://euvsdisinfo.eu/disinformation-cases/?text=genocide&disinfo_issue=&disinfo_language%5B%5D=rus&date=, but it seldom corresponds to the actual definition of a genocide http://www.un.org/en/genocideprevention/genocide.html";"Russian";"82";"Ukraine"
"Officially it is not announced. But in fact it's a war, considering Morgan Freeman's statements and the statements made by officials.";"Morgan Freeman, Anti-Russian, Hybrid war, Turkey, Information war";"https://youtu.be/vSTnkRWVgns?t=2062";"28.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 34:22";"The US has unofficially declared a war on Russia";"Recurring disinformation. The US has not declared a war to Russia. A chain of events has led to the deterioration of Russia's relationship with the United States. A turning point was the year 2014 when Russia illegally annexed Crimea from Ukraine and started to support the separatists in the East of Ukraine. Further debunk: https://www.polygraph.info/a/who-is-guilty-of-destroying-us-russia-realtions-fact-check/28735904.html";"Russian";"82";"Russia, US"
"Military from Kiev beat NATO Lithuanian instructors on the occupied territory of Luhansk People's Republic, as these instructors had raped two minor girls from the village of Teploe. The official representative of the Luhansk People's Militia, Lieutenant Colonel Marochko said that the case was investigated by the military prosecutor's office. Soldiers of one of the subunits of the 14th Brigade of the Ukrainian Armed forces are the suspects.";"Lisa case, LPR, NATO";"http://geworld.ge/ge/%e1%83%a3%e1%83%99%e1%83%a0%e1%83%90%e1%83%98%e1%83%9c%e1%83%98%e1%83%a1-%e1%83%a1%e1%83%90%e1%83%9b%e1%83%ae%e1%83%94%e1%83%93%e1%83%a0%e1%83%9d-%e1%83%ab%e1%83%90%e1%83%9a%e1%83%94%e1%83%91%e1%83%98/";"27.09.2017";"EEAS Tbilisi";"Georga and the world";"NATO military instructors who raped local girls were wounded by Ukrainian military forces";"As we reported last week the story about two girls raped by Lithuanian NATO instructors was fake. https://euvsdisinfo.eu/the-pro-kremlin-pulp-mill/. As explained in the debunk last week, all of the Lithuanian soldiers are deployed in the Central and Western parts of Ukraine and none is deployed in the south-east part of Ukraine. https://euvsdisinfo.eu/report/lithuanian-nato-instructor-raped-two-girls-in-donbas/.";"Georgian";"82";"Ukraine, Lithuania"
"Military from Kiev beat NATO Lithuanian instructors on the occupied territory of Luhansk People's Republic, as these instructors had raped two minor girls from the village of Teploe. The official representative of the Luhansk People's Militia, Lieutenant Colonel Marochko said that the case was investigated by the military prosecutor's office. Soldiers of one of the subunits of the 14th Brigade of the Ukrainian Armed forces are the suspects.";"Lisa case, LPR, NATO";"http://geworld.ge/ge/%e1%83%a3%e1%83%99%e1%83%a0%e1%83%90%e1%83%98%e1%83%9c%e1%83%98%e1%83%a1-%e1%83%a1%e1%83%90%e1%83%9b%e1%83%ae%e1%83%94%e1%83%93%e1%83%a0%e1%83%9d-%e1%83%ab%e1%83%90%e1%83%9a%e1%83%94%e1%83%91%e1%83%98/";"27.09.2017";"EEAS Tbilisi";"Georga and the world";"NATO military instructors who raped local girls were wounded by Ukrainian military forces";"As we reported last week the story about two girls raped by Lithuanian NATO instructors was fake. https://euvsdisinfo.eu/the-pro-kremlin-pulp-mill/. As explained in the debunk last week, all of the Lithuanian soldiers are deployed in the Central and Western parts of Ukraine and none is deployed in the south-east part of Ukraine. https://euvsdisinfo.eu/report/lithuanian-nato-instructor-raped-two-girls-in-donbas/.";"Georgian";"82";"Ukraine, Lithuania"
"A part of Ukraine is a Russian land that has never belonged to Ukraine and the people who live there do not have any connection to Ukraine.";"Ukrainian statehood";"https://www.youtube.com/watch?v=_iSWo6oiJJ8";"27.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 1:05:50";"Part of Ukraine is a Russian territory with a population that has nothing in common with Ukraine";"Ukraine is recognised in international law as a sovereign nation state, with its own flag, nationality, language etc. Ukrainian citizens are citizens of Ukraine, not Russia. Russia has no right to claim them or to legislate for them. 
The territorial sovereignty of Ukraine that includes the Ukrainian jurisdiction over Crimea also, has been recognized by the international community and enshrined in relevant UN resolutions.";"Russian";"82";"Russia, Ukraine"
"Nazism was a project that was implemented in Germany by the Europeans and there is now a European project being implemented in Ukraine. Three foreign ministers including Germany's, who brought the Nazis to power with their own hands. Today, Russophobia is the basic project of the West. We can take offence at the law on education recently adopted by Ukraine, but the West is supporting the apartheid regime now in two members of the European Union.";"EU, Russophobia, The West, Nazi/Fascist";"https://www.youtube.com/watch?v=_iSWo6oiJJ8";"27.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 1:15:54";"Nazism is now being implemented in Ukraine";"There is no apartheid or Nazi regime neither in the EU nor in Ukraine. There are no Nazis in the government nor in the parliament of Ukraine. Even the far-right ‘Right Sector’ (often depicted as ""fascists"" or ""Nazis"" by pro-Kremlin outlets) gained only 1.8% of the votes, far short of the threshold needed to enter the parliament. Ukraine's electorate clearly voted for unity and moderation, not extremism or Nazism, and the composition of the parliament reflects that http://bit.ly/2dFFEdi 
Criticism of Russian government's policy is not ""Russophobia"". There is in fact a clear record of strong cooperation between the EU and Russia, dating back to 1994, when the two sides negotiated a Partnership and Cooperation Agreement. Russia was identified as a strategic partner for the EU, and was the only country with which the EU held summits not once, but twice a year. 
In 2010 the EU and Russia launched a Partnership for Modernisation. As stated in the Joint Declaration: ""The European Union and Russia, as long-standing strategic partners in a changing multipolar world, are committed to working together to address common challenges with a balanced and result-oriented approach, based on democracy and the rule of law, both at the national and international level"" http://bit.ly/1p648gA.
Despite current difficulties in the relationship with Russia, the EU and its Member States have maintained a clear policy of reaching out to Russian society and youth, mainly through the Erasmus+ student exchange programme and other people to people contacts.";"Russian";"82";"Europe, Ukraine, EU, Germany"
"The new Ukrainian law on education is equivalent to a genocide of Russians.";"Genocide";"https://russia.tv/video/show/brand_id/60851/episode_id/1548844/video_id/1680828/";"26.09.2017";"East Stratcom Network";"60 minut @Rossiya 1";"The new Ukrainian law on education is equivalent to a genocide of Russians";"There is no genocide of Russians in Ukraine. The word genocide is frequently used in pro-Kremlin disinformation https://euvsdisinfo.eu/disinformation-cases/?text=genocide&disinfo_issue=&disinfo_language%5B%5D=rus&date=, but it seldom corresponds to the actual definition of a genocide http://www.un.org/en/genocideprevention/genocide.html";"Russian";"82";"Russia, Ukraine"
"Daesh was created by Obama and Clinton. The documents supporting the claim can be found.";"Hillary Clinton, Barack Obama, Daesh";"https://youtu.be/Evv-nNmBrSM?t=513";"26.09.2017";"Pavel Spirin, former jornalist";"Vremya pokazhet @Pervyi kanal, 8:34";"Documents show that Daesh was created by former US President Barack Obama and presidential candidate Hillary Clinton";"No evidence given, conspiracy theory. Further debunking: http://www.politifact.com/truth-o-meter/statements/2016/aug/11/donald-trump/donald-trump-pants-fire-claim-obama-founded-isis-c/";"Russian";"82";"US"
"NATO’s increasingly active role in the region is dangerous. The Alliance’s military infrastructure is expanding in Georgia, military exercises are held regularly, with their scale increasing every year, and NATO standards for the armed forces and their management are being introduced, which poses a serious threat of destabilization in the South Caucasus and to the security of the Russian Federation, the Republic of Abkhazia and the Republic of South Ossetia.";"NATO";"http://www.mid.ru/en/foreign_policy/news/-/asset_publisher/cKNonkJE02Bw/content/id/2874997";"26.09.2017";"SOVA News, https://sova.news/2017/09/27/23926/";"Mid.ru";"NATO activities in Georgia pose a serious threat of destabilization in the South Caucasus and to the security of the Russian Federation";"No evidence given. For a comparison between NATO activities in Georgia and Russian activities in Georgia, see SOVA News timeline https://sova.news/2017/09/27/23926/. 
Georgia aspires to join NATO. The country actively contributes to NATO-led operations and cooperates with the Allies and other partner countries in many other areas. Support for Georgia’s reform efforts and its goal of integration in Euro-Atlantic institutions is a priority for NATO-Georgia cooperation. http://www.nato.int/cps/en/natohq/topics_38988.htm";"Russian";"82";"Russia, Georgia"
"For Russia, the US is not an assistant in the fight against terrorism but a bloody enemy if it supports terrorists in Syria.";"Syrian War, Terrorism, Daesh";"https://youtu.be/Evv-nNmBrSM?t=2671";"26.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 44:33";"Washington supports terrorists in Syria and therefore is an enemy of Moscow";"Since September, 2014, the US has been heading the Global coalition fighting Daesh, so it cannot be an “enemy” of Russia in the struggle against terrorism. http://theglobalcoalition.org/en/home/";"Russian";"82";"Russia, US, Syria"
"The German leaders and political structures started supporting the US project called Ukraine, deployed a practically fascist regime there, the regime of Bandera, a nationalist regime.";"AfD, Stepan Bandera, Migration crisis, Nazi/Fascist";"https://youtu.be/6h-E3O9YTv4?t=415";"25.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 6:55";"Germany supported the American project of establishing a fascist regime in Ukraine";"No evidence given, recurring disinformation and conspiracy theory. The US has never had any project for the establishing a ""fascist regime"" in Ukraine.";"Russian";"82";"Russia, US, Germany, Syria"
"Russia never got close to, not talked to representatives of the AfD.";"AfD";"https://youtu.be/6h-E3O9YTv4?t=455";"25.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 7:35";"Russia never met with the AfD";"In February 2017, Frauke Petry, the leader of Germany’s far-right party AfD, held talks with Russian officials and politicians during her visit to Moscow, including with Vyacheslav Volodin, speaker of the Duma lower house, his deputy Pyotr Tolstoy and Vladimir Zhirinovsky, the leader of the pro-Kremlin Liberal Democratic Party of Russia, and others. http://www.dw.com/en/head-of-the-afd-frauke-petry-meets-with-russian-officials-in-moscow/a-37643188 
Earlier, in April 2016, Marcus Pretzell, member of the European Parliament from AfD and husband of Frauke Petry, travelled to Crimea annexed by Russia.
https://www.merkur.de/politik/marcus-pretzell-von-afd-liess-sich-krimreise-von-russischer-stiftung-bezahlen-zr-7313209.html
http://www.handelsblatt.com/politik/deutschland/marcus-pretzell-russische-stiftung-bezahlte-fuer-afd-politiker-krimreise/19288206.html";"Russian";"82";"Russia, Germany"
"Finland, Estonia and Hungary are pushing Russia's Finno-Ugric peoples to political independence and, ideally, to separate from Russia. The countries are influencing cultural and scientific elites of Russia's Finno-Ugric republics, using missionaries' work, and inviting people to study abroad.";"Destabilising Russia";"https://www.kp.ru/daily/26735/3763162/";"25.09.2017";"East Stratcom Network";"Komsomolskaya Pravda";"Finland, Estonia and Hungary are pushing Russia's Finno-Ugric peoples to separate from Russia";"Recurring disinformation, no evidence given. The described activities are part of cultural and people-to-people cooperation that has nothing to do with separatism.";"Russian";"82";"Hungary, Russia, Estonia, Finland"
"It was the US diplomats, who had military ranks, that initiated the Maidan protests in Kyiv.";"Secret services, Euromaidan";"https://youtu.be/6h-E3O9YTv4?t=1746";"25.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 29:08";"In 2014, Maidan in Kyiv started after American diplomats with military ranks conducted some meetings in Ukraine";"Conspiracy theory, no evidence given. The demonstrations which began in Kyiv in November 2013 – called ""Maidan"", or ""Euromaidan"" – were not provoked from outside but were a result of the Ukrainian people's frustration with former President Yanukovych's last minute U-turn when, after seven years of negotiation, he refused to sign the EU–Ukraine Association Agreement and halted progress towards Ukraine's closer relationship with the EU as a result of Russian pressure. The protesters' demands included constitutional reform, a stronger role for parliament, formation of a government of national unity, an end to corruption, early presidential elections and an end to violence  http://bit.ly/2ftv6iT.";"Russian";"82";"Russia, Ukraine, US"
"The Verkhovnaya Rada has demonstrated to the world and Europe that it is an absolutely Nazi state, through the law on education.";"Nazi/Fascist";"https://youtu.be/kaxBHobDQiM?t=219";"25.09.2017";"Pavel Spirin, former journalist";"Vremya pokazhet @Pervyi kanal, 3:40";"The law on education demonstrates that Ukraine is a Nazi state";"The new Ukrainian law on education has nothing to do with Nazism. More on background of the law and the controversies it has raised http://carnegieeurope.eu/strategiceurope/73272.
Ukraine will forward the respective parts of the Law to the Council of Europe for opinion.
http://mfa.gov.ua/en/press-center/news/60121-statement-on-the-law-of-ukraine-on-education";"Russian";"82";"Ukraine"
