language,locations,people,title
Russian,"West,Ukraine,Germany",Экономика,Nazism is now being implemented in Ukraine
Russian,"US,Europe","Hitler,Adolf,Poroshenko,Petro",US and Europe brought both Hitler and Poroshenko to power
Russian,"Ukraine,West",,Ukraine is a neo-Nazi state
Russian,Ukraine,,"American media questioned the legitimacy of the ""neo-Nazi regime"" in Ukraine"
Russian,Ukraine,"Joseph,Goebbels",Ukraine is occupied by Nazis who conduct information terror according to Goebbels’ standards
English,Ukraine,"Sigmar,Gabriel",German Foreign Minister Sigmar Gabriel used Nazi greeting to congratulate Ukraine
English,,,A NATO film glorifies the Baltic Nazi collaborators known as the 'Forest Brothers’.
Russian,"US,Ukraine","Soros,George",Ukraine is a nest of neo-Nazis due to the Orange Revolutions supported by the US and George Soros.
Russian,,"Poroshenko,Lenin,Petro","""Ukrainianness"" is a fabricated anti-Orthodox anti-Russian project implemented by Lenin and the Bolsheviks. Ukrainians are Russians. //President Poroshenko's governs a Nazi regime."
Russian,"Ukraine,Shutterstock","Goebbels,Poroshenko,Hitler,Adolf,Joseph,Orest,Petro",The president of Ukraine Petro Poroshenko and his supporters act as Hitler and Joseph Goebbels.
Russian,"Ukraine,Ribbon,St.,George",,"With banning the St. George Ribbon, Ukraine is trying to insert Nazism in its society."
Russian,"states,USSR,Germany,Baltic",,The presence of NATO soldiers in the Baltic states is identical to Nazi Germany's attack on the USSR in 1941.
Russian,,,"Russophobia is a new kind of Nazism that is being propagated by the liberals of the global world, to show that Russians are subhuman."
Czech,"EU,Le,France,Praze,Penové","Optimistický,Macron,Okamura,Radek,Tomio,Pokorný","The EU inception was initiated by Nazis and American NGOs. // In France, 600 entreprises and 200 farms are closed daily. There are 7 million unemployed people, 9 million people live in exceptionally poor conditions and other 11 million below the poverty line."
Russian,"Ukraine,Europe",,"After the introduction of a visa-free regime with Ukraine, tens of thousands of neo-Nazis of Ukraine will pour into Europe."
Russian,"Ukraine,Russia",,Nazism is taking revenge in Ukraine and Russia is the main target of it.
Russian,"Moscow,Russia,Europe","Hitler,Adolf","Today, Europe envies Moscow, which managed to make the victory in WWII on par with religion // Soviet Russia was the only country that fought the Evil of Nazism, while the European nations were supporting Hitler: they either surrendered to him or fought against Russia."
Russian,Ukraine,,The street protests in Ukraine during Victory Day 9th of May showed that in Ukraine there is a Nazi government and a basically anti-fascist people.
Czech,"Irák,Merkelová,Jemen,Tunisko,Libye,Egypt","Somálsko,Sina,Hitler,Ali,Adolf,Trump","The migration crisis was planned since World War II. The same people who supported Hitler now seek to achieve their goals through the UN, EU, media, etc."
